h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec91565fffff,25,0.08,4634.92,-0.2904221272975229,-0.29182695982455215,-0.24191989296667493,1,1,1
881ec91567fffff,31,0.5161290322580645,3280.1935483870966,-0.30684865245365284,-0.2888587601382932,-0.21737187091543803,1,1,1
881ec9156bfffff,13,0.15384615384615385,6049.384615384615,-0.29956222420017525,-0.28735732777020334,-0.24066915826241814,1,1,1
881ec91581fffff,7,0.5714285714285714,2301.8571428571427,-0.28109182113557724,-0.23113558636011083,-0.19532318680297034,1,1,1
881ec91583fffff,20,0.35,2792.6,-0.2762362016898813,-0.23158494938993837,-0.19668690516131704,1,1,1
881ec91595fffff,8,0.0,2404.75,-0.27706275241571965,-0.23309656607443485,-0.19797658044359934,1,1,1
881ec915a1fffff,11,0.6363636363636364,2781.090909090909,-0.30098346771283874,-0.2145954086703396,-0.17957138763893665,1,1,1
881ec915a9fffff,6,0.5,5739.666666666667,-0.30564024190731637,-0.2192784691220621,-0.18122348713830094,1,1,1
881ec915abfffff,37,0.32432432432432434,4771.027027027027,-0.2795000208551072,-0.22173960265573736,-0.18601273863451662,1,1,1
881ec915b5fffff,6,0.16666666666666666,3286.0,-0.26328026157502565,-0.2248319010072623,-0.1882630263262471,1,1,1
881ec915b7fffff,34,0.11764705882352941,2631.794117647059,-0.2522390559249985,-0.23027040092438922,-0.19258068104526016,1,1,1
881ec915b9fffff,5,0.0,5527.2,-0.2757718269224236,-0.2302035390927761,-0.19408241013553756,1,1,1
881ec915bdfffff,12,0.75,2544.8333333333335,-0.2689882864571925,-0.2257635725132974,-0.1889042749579621,1,1,1
881ec915c1fffff,23,0.4782608695652174,3858.086956521739,-0.27266952449514065,-0.23558212154234037,-0.20316987046028798,1,1,1
881ec915c5fffff,8,0.75,1993.25,-0.24851861834983513,-0.2270558324348252,-0.19599764987079585,1,1,1
881ec915c7fffff,5,0.6,3980.8,-0.2767043271680154,-0.2345191259319235,-0.19671671181332212,1,1,1
881ec915c9fffff,13,0.38461538461538464,6048.384615384615,-0.26090491827606455,-0.23476303897358802,-0.21078962733084838,1,1,1
881ec915e1fffff,6,0.8333333333333334,1529.5,-0.2194030554136922,-0.20927956883784188,-0.178433977806923,1,1,1
881ec915e7fffff,12,0.3333333333333333,4617.833333333333,-0.24273297256448745,-0.2066064174586484,-0.17418480515066373,1,1,1
881ec915ebfffff,6,0.6666666666666666,2741.1666666666665,-0.2617852148849161,-0.22261439150078793,-0.1886008564266468,1,1,1
881ec915edfffff,20,0.9,2661.5,-0.17318173868644718,-0.17007603771131008,-0.1732653304549821,1,1,1
881ec916d3fffff,5,0.2,4631.8,-0.1941018778437531,-0.21795185729900646,-0.21732960875489088,0,1,1
881ec91703fffff,9,0.2222222222222222,5962.666666666667,-0.2761060333463217,-0.26572478829969787,-0.21834918299219536,1,1,1
881ec91705fffff,6,0.5,3789.5,-0.3093335618322516,-0.24394954352012155,-0.2162014316414782,1,1,1
881ec91707fffff,24,0.4583333333333333,4967.5,-0.287919395172735,-0.26283135931416446,-0.22093488718757678,1,1,1
881ec91717fffff,5,0.6,1821.8,-0.29973076975518254,-0.2746503087526596,-0.22298824436614062,1,1,1
881ec91721fffff,5,0.6,5596.4,-0.2992435801555648,-0.2572919418894959,-0.2224724091516523,1,1,1
881ec91723fffff,29,0.3103448275862069,6188.068965517241,-0.26379902352870965,-0.2741632401939863,-0.2285554261404819,1,1,1
